,model_name,model_variation,dimension,female_names,male_names
185,Qwen3-8B,default-g-n,Agency,-0.4423782355659566,0.4423782355659568
186,Qwen3-8B,default-g-n,Status,-0.3793940177642731,0.3793940177642734
187,Qwen3-8B,default-g-n,Politics,-0.3778974568434649,0.3778974568434652
188,Qwen3-8B,default-g-n,Religion,-0.3680796077900728,0.3680796077900725
189,Apertus-8B-Instruct-2509,conservative_8-g-n,Sociability,0.4642806129545119,-0.4642806129545128
190,Apertus-8B-Instruct-2509,conservative_8-g-n,Morality,0.2402288911389946,-0.2402288911389964
191,Apertus-8B-Instruct-2509,conservative_8-g-n,Ability,-0.0258249855771298,0.02582498557713
192,Apertus-8B-Instruct-2509,conservative_8-g-n,Agency,-0.3921332053192054,0.3921332053192044
193,Apertus-8B-Instruct-2509,conservative_8-g-n,Status,-0.2171321025689754,0.217132102568975
194,Apertus-8B-Instruct-2509,conservative_8-g-n,Politics,0.0061058986775658,-0.0061058986775657
195,Apertus-8B-Instruct-2509,conservative_8-g-n,Religion,-0.1392660983425823,0.139266098342584
196,Qwen3-8B,conservative_1-g-n,Sociability,0.4267323225012482,-0.426732322501249
197,Qwen3-8B,conservative_1-g-n,Morality,0.498175986642428,-0.4981759866424278
198,Qwen3-8B,conservative_1-g-n,Ability,-0.1054388257117505,0.1054388257117515
199,Qwen3-8B,conservative_1-g-n,Agency,-0.4354750994841461,0.4354750994841462
200,Qwen3-8B,conservative_1-g-n,Status,-0.0467103098012898,0.0467103098012895
201,Qwen3-8B,conservative_1-g-n,Politics,-0.052131625515067,0.0521316255150672
202,Qwen3-8B,conservative_1-g-n,Religion,-0.0858486415146925,0.0858486415146935
203,Qwen3-8B,democratic_1-g-n,Sociability,0.4271630422015283,-0.4271630422015288
204,Qwen3-8B,democratic_1-g-n,Morality,0.5030313648468823,-0.5030313648468832
205,Qwen3-8B,democratic_1-g-n,Ability,-0.1283641439639795,0.1283641439639798
206,Qwen3-8B,democratic_1-g-n,Agency,-0.4309377362109119,0.4309377362109121
207,Qwen3-8B,democratic_1-g-n,Status,-0.0725271210969324,0.0725271210969322
208,Qwen3-8B,democratic_1-g-n,Politics,-0.0878418135708988,0.0878418135708989
209,Qwen3-8B,democratic_1-g-n,Religion,-0.1516178218015056,0.1516178218015058
210,Apertus-8B-Instruct-2509,liberal_9-g-n,Sociability,0.5110418330179922,-0.5110418330179922
211,Apertus-8B-Instruct-2509,liberal_9-g-n,Morality,0.1877196990129533,-0.1877196990129541
212,Apertus-8B-Instruct-2509,liberal_9-g-n,Ability,0.0167356419906015,-0.0167356419906016
213,Apertus-8B-Instruct-2509,liberal_9-g-n,Agency,-0.450172725033256,0.4501727250332569
214,Apertus-8B-Instruct-2509,liberal_9-g-n,Status,-0.2353527174906531,0.2353527174906526
215,Apertus-8B-Instruct-2509,liberal_9-g-n,Politics,0.1084059607905614,-0.1084059607905631
216,Apertus-8B-Instruct-2509,liberal_9-g-n,Religion,-0.0359436432663285,0.0359436432663304
217,Apertus-8B-Instruct-2509,liberal_7-g-n,Sociability,0.5293697402198542,-0.5293697402198553
218,Apertus-8B-Instruct-2509,liberal_7-g-n,Morality,0.1751389855187032,-0.1751389855187039
219,Apertus-8B-Instruct-2509,liberal_7-g-n,Ability,-0.003139234405089,0.0031392344050892
220,Apertus-8B-Instruct-2509,liberal_7-g-n,Agency,-0.4660546386414104,0.4660546386414081
221,Apertus-8B-Instruct-2509,liberal_7-g-n,Status,-0.2127990235567979,0.2127990235567979
222,Apertus-8B-Instruct-2509,liberal_7-g-n,Politics,0.1292844659768795,-0.1292844659768801
223,Apertus-8B-Instruct-2509,liberal_7-g-n,Religion,-0.0211062367129244,0.0211062367129216
224,Apertus-8B-Instruct-2509,liberal_1-g-n,Sociability,0.4971189613176014,-0.4971189613176008
225,Apertus-8B-Instruct-2509,liberal_1-g-n,Morality,0.2033794960254492,-0.2033794960254498
226,Apertus-8B-Instruct-2509,liberal_1-g-n,Ability,-0.012069220099951,0.0120692200999511
227,Apertus-8B-Instruct-2509,liberal_1-g-n,Agency,-0.4355638993240973,0.4355638993240973
228,Apertus-8B-Instruct-2509,liberal_1-g-n,Status,-0.2151948414048793,0.2151948414048787
229,Apertus-8B-Instruct-2509,liberal_1-g-n,Politics,0.0909799863771681,-0.090979986377168
230,Apertus-8B-Instruct-2509,liberal_1-g-n,Religion,-0.0276753772544591,0.0276753772544617
231,Meta-Llama-3-8B,conservative_8-g-n,Sociability,0.3898704174000241,-0.3898704174000237
232,Meta-Llama-3-8B,conservative_8-g-n,Morality,0.410596864961418,-0.4105968649614178
233,Meta-Llama-3-8B,conservative_8-g-n,Ability,-0.197722788201291,0.197722788201291
234,Meta-Llama-3-8B,conservative_8-g-n,Agency,-0.4755255495468721,0.475525549546872
235,Meta-Llama-3-8B,conservative_8-g-n,Status,-0.1680906768461046,0.1680906768461055
236,Meta-Llama-3-8B,conservative_8-g-n,Politics,-0.2162703517987256,0.2162703517987257
237,Meta-Llama-3-8B,conservative_8-g-n,Religion,0.0071782535466817,-0.0071782535466815
238,Qwen3-8B,conservative_5-g-n,Sociability,0.4263897880913356,-0.4263897880913363
239,Qwen3-8B,conservative_5-g-n,Morality,0.4893606973432837,-0.4893606973432833
240,Qwen3-8B,conservative_5-g-n,Ability,-0.1101623916443625,0.1101623916443629
241,Qwen3-8B,conservative_5-g-n,Agency,-0.4342519257131478,0.4342519257131479
242,Qwen3-8B,conservative_5-g-n,Status,-0.0558777202770119,0.0558777202770107
243,Qwen3-8B,conservative_5-g-n,Politics,-0.0833446154903855,0.0833446154903854
244,Qwen3-8B,conservative_5-g-n,Religion,-0.1341835710082254,0.1341835710082255
245,Meta-Llama-3-8B,democratic_10-g-n,Sociability,0.3953440543129753,-0.3953440543129758
246,Meta-Llama-3-8B,democratic_10-g-n,Morality,0.3736252360877682,-0.373625236087768
247,Meta-Llama-3-8B,democratic_10-g-n,Ability,-0.1853476414862415,0.1853476414862414
248,Meta-Llama-3-8B,democratic_10-g-n,Agency,-0.4220682317366413,0.422068231736641
249,Meta-Llama-3-8B,democratic_10-g-n,Status,-0.1148521426041773,0.1148521426041772
250,Meta-Llama-3-8B,democratic_10-g-n,Politics,-0.1345351872565789,0.1345351872565786
251,Meta-Llama-3-8B,democratic_10-g-n,Religion,0.0935427541524967,-0.0935427541524967
252,Apertus-8B-Instruct-2509,liberal_3-g-n,Sociability,0.5191702397120848,-0.5191702397120834
253,Apertus-8B-Instruct-2509,liberal_3-g-n,Morality,0.1835828840953311,-0.1835828840953311
254,Apertus-8B-Instruct-2509,liberal_3-g-n,Ability,-0.0039667625112916,0.0039667625112916
255,Apertus-8B-Instruct-2509,liberal_3-g-n,Agency,-0.4663661962051821,0.466366196205182
256,Apertus-8B-Instruct-2509,liberal_3-g-n,Status,-0.2459187324523282,0.2459187324523299
257,Apertus-8B-Instruct-2509,liberal_3-g-n,Politics,0.1033453976790919,-0.1033453976790908
